,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
176,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.45,254.47803215797973
177,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.45,257.84922837059787
178,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.45,258.96929317296383
179,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.45,259.0489967057237
180,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.55,258.0153133245329
181,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.55,264.2090257389277
182,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.55,267.81572211817945
183,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.55,270.0718768919955
184,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.5,256.2466727412563
185,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.5,261.0291270547628
186,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.5,263.39250764557164
187,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.5,264.5604367988596
188,2023-12-27,ILI incidence,2023-12-24,1,FR,median,,256.2466727412563
189,2023-12-27,ILI incidence,2023-12-31,2,FR,median,,261.0291270547628
190,2023-12-27,ILI incidence,2024-01-07,3,FR,median,,263.39250764557164
191,2023-12-27,ILI incidence,2024-01-14,4,FR,median,,264.5604367988596
192,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.01,432.0247126285289
193,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.01,431.6077617388109
194,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.01,421.3288306193249
195,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.01,407.07012363712
196,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.99,497.7416697257587
197,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.99,552.081456477758
198,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.99,591.2876441127712
199,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.99,621.0645662654887
200,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.025,433.1808120037316
201,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.025,433.7271471968137
202,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.025,424.3187633059413
203,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.025,410.8347355781976
204,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.975,496.585570350556
205,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.975,549.9620710197552
206,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.975,588.2977114261548
207,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.975,617.299954324411
208,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.05,435.0708587994803
209,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.05,437.1920203554487
210,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.05,429.206848893612
211,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.05,416.9893040254155
212,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.95,494.69552355480727
213,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.95,546.4971978611202
214,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.95,583.4096258384841
215,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.95,611.1453858771931
216,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.1,438.7295524468845
217,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.1,443.8992137662536
218,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.1,438.669052542646
219,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.1,428.9031256995662
220,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.9,491.0368299074031
221,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.9,539.7900044503152
222,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.9,573.9474221894501
223,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.9,599.2315642030425
224,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.15,442.2525260584743
225,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.15,450.35760238014046
226,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.15,447.7802536913639
227,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.15,440.3750015700695
228,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.85,487.5138562958133
229,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.85,533.3316158364283
230,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.85,564.8362210407322
231,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.85,587.7596883325391
232,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.2,445.66594781146233
233,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.2,456.6151582446998
234,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.2,456.60812912437024
235,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.2,451.49014319790695
236,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.8,484.1004345428252
237,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.8,527.0740599718691
238,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.8,556.0083456077258
239,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.8,576.6445467047017
240,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.25,448.9915613857679
241,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.25,462.7117423269149
242,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.25,465.2089128823648
243,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.25,462.3193546323003
244,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.75,480.7748209685196
245,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.75,520.9774758896539
246,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.75,547.4075618497313
247,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.75,565.8153352703083
248,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.3,452.24790870086514
249,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.3,468.68134605982345
250,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.3,473.6305585343029
251,2023-12-27,ILI incidence,2024-01-14,4,HU,quantile,0.3,472.92301401457536
252,2023-12-27,ILI incidence,2023-12-24,1,HU,quantile,0.7,477.5184736534224
253,2023-12-27,ILI incidence,2023-12-31,2,HU,quantile,0.7,515.0078721567454
254,2023-12-27,ILI incidence,2024-01-07,3,HU,quantile,0.7,538.9859161977932
