origin_date,ILI incidence,target_end_date,horizon,location,output_type,output_type_id,value
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.4,80.72
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.45,84.64
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.5,88.59
2023-12-06,ILI incidence,2023-12-31,3,CZ,median,0.5,88.59
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.55,92.53
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.6,97.02
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.65,100.87
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.7,105.23
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.75,109.65
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.8,114.68
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.85,120.61
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.9,127.14
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.95,139.04
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.975,149.08
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.99,160.4
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.01,36.78
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.025,42.68
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.05,49.76
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.1,59.14
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.15,67.42
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.2,75.05
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.25,82.84
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.3,90.58
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.35,98.03
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.4,104.57
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.45,110.34
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.5,116.41
2023-12-06,ILI incidence,2024-01-07,4,CZ,median,0.5,116.41
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.55,122.62
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.6,128.72
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.65,135.09
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.7,141.67
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.75,148.71
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.8,156.54
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.85,165.72
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.9,177.1
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.95,195.75
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.975,210.22
2023-12-06,ILI incidence,2024-01-07,4,CZ,quantile,0.99,226.89
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.01,179.31
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.025,199.66
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.05,226.41
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.1,253.53
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.15,271.17
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.2,287.41
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.25,301.07
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.3,312.14
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.35,322.58
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.4,332.18
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.45,341.39
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.5,348.94
2023-12-06,ILI incidence,2023-12-17,1,DK,median,0.5,348.94
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.55,357.72
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.6,366.71
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.65,376.31
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.7,386.34
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.75,395.83
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.8,407.39
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.85,419.51
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.9,435.19
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.95,454.61
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.975,470.27
2023-12-06,ILI incidence,2023-12-17,1,DK,quantile,0.99,484.94
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.01,185.85
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.025,210.54
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.05,244.59
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.1,276.63
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.15,302.78
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.2,322.13
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.25,338.38
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.3,353.58
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.35,366.25
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.4,380.54
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.45,393.84
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.5,407.96
2023-12-06,ILI incidence,2023-12-24,2,DK,median,0.5,407.96
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.55,420.95
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.6,435.91
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.65,449.74
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.7,465.01
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.75,480.28
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.8,497.87
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.85,518.3
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.9,540.67
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.95,571.36
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.975,596.14
2023-12-06,ILI incidence,2023-12-24,2,DK,quantile,0.99,621.45
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.01,189.84
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.025,214.1
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.05,251.3
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.1,287.51
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.15,312.72
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.2,338.41
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.25,359.48
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.3,380.78
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.35,404.1
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.4,423.64
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.45,440.05
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.5,457.04
2023-12-06,ILI incidence,2023-12-31,3,DK,median,0.5,457.04
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.55,479.25
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.6,501.21
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.65,522.71
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.7,543.08
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.75,565.8
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.8,590.23
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.85,617.55
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.9,652.7
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.95,700.05
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.975,740.06
2023-12-06,ILI incidence,2023-12-31,3,DK,quantile,0.99,778.61
2023-12-06,ILI incidence,2024-01-07,4,DK,quantile,0.01,181.27
